"gene","D","P_random","P_brownian","n","n1","n0","status","p_adjustp","p_adjustb","n_prop","n1_prop"
"FBgn0040370",0.74528194388124,0.184,0.058,40,6,34,"ok",0.227115511551155,0.170216772927906,0.133333333333333,0.15
"FBgn0261446",-8.93213404165043,0,0.941,19,1,18,"ok",0,0.957073850599133,0.0633333333333333,0.0526315789473684
"FBgn0040373",0.0308705732284453,0,0.471,70,11,59,"ok",0,0.622727353071144,0.233333333333333,0.157142857142857
"FBgn0000108",0.62839493873277,0,0,296,56,240,"ok",0,0,0.986666666666667,0.189189189189189
"FBgn0261930",0.334966846888797,0,0.038,191,47,144,"ok",0,0.13012417739628,0.636666666666667,0.246073298429319
"FBgn0025640",0.343389564838918,0.054,0.348,64,3,61,"ok",0.0747567379988433,0.515708766716196,0.213333333333333,0.046875
"FBgn0025635",0.339473231413353,0,0.018,219,56,163,"ok",0,0.080652938974167,0.73,0.255707762557078
"FBgn0001341",0.351799595146418,0.02,0.222,35,10,25,"ok",0.030070351758794,0.391988197108292,0.116666666666667,0.285714285714286
"FBgn0003575",-0.0770083291185421,0,0.618,66,28,38,"ok",0,0.739696369636964,0.22,0.424242424242424
"FBgn0025634",-0.283424138051233,0.001,0.71,43,6,37,"ok",0.00181912144702842,0.803145557655955,0.143333333333333,0.13953488372093
"FBgn0025638",0.110064712478631,0,0.357,69,19,50,"ok",0,0.523664174531193,0.23,0.27536231884058
"FBgn0025637",0.252698346567007,0,0.099,223,28,195,"ok",0,0.237346153846154,0.743333333333333,0.125560538116592
"FBgn0021764",0.576875877654118,0,0,275,104,171,"ok",0,0,0.916666666666667,0.378181818181818
"FBgn0040383",0.444487823224868,0,0.01,109,58,51,"ok",0,0.0548990825688073,0.363333333333333,0.532110091743119
"FBgn0040382",0.940870578237417,0.374,0.008,57,9,48,"ok",0.427918929254302,0.0475628415300546,0.19,0.157894736842105
"FBgn0027343",0.300477539225575,0,0.144,113,18,95,"ok",0,0.299981201044386,0.376666666666667,0.15929203539823
"FBgn0086368",0.8985251369522,0.258,0.001,89,12,77,"ok",0.308281150159744,0.0103798785776236,0.296666666666667,0.134831460674157
"FBgn0260855",0.456041266721354,0,0.019,149,23,126,"ok",0,0.083630746598014,0.496666666666667,0.154362416107383
"FBgn0029535",NA,NA,NA,7,0,7,"skipped",NA,NA,0.0233333333333333,0
"FBgn0025616",NA,NA,NA,5,5,0,"skipped",NA,NA,0.0166666666666667,1
"FBgn0015799",0.305363339994266,0,0.082,97,31,66,"ok",0,0.211184850441145,0.323333333333333,0.319587628865979
"FBgn0025620",0.324892739495016,0,0.065,125,37,88,"ok",0,0.183126177024482,0.416666666666667,0.296
"FBgn0015288",0.585986731321753,0,0,217,28,189,"ok",0,0,0.723333333333333,0.129032258064516
"FBgn0029532",0.892875134723181,0.291,0.29,17,2,15,"ok",0.342413528659915,0.462023429179979,0.0566666666666667,0.117647058823529
"FBgn0029531",NA,NA,NA,17,0,17,"skipped",NA,NA,0.0566666666666667,0
"FBgn0025639",0.574663243015962,0.003,0.009,117,24,93,"ok",0.00513134200371588,0.0515862068965517,0.39,0.205128205128205
"FBgn0002579",0.784900035362315,0.083,0.01,217,8,209,"ok",0.110273534635879,0.0548990825688073,0.723333333333333,0.0368663594470046
"FBgn0029529",0.675887856607169,0.108,0.035,44,16,28,"ok",0.140097983958378,0.123672866843815,0.146666666666667,0.363636363636364
"FBgn0025633",0.618171913819344,0,0.001,211,28,183,"ok",0,0.0103798785776236,0.703333333333333,0.132701421800948
"FBgn0040341",2.28458867932275,0.727,0,6,4,2,"ok",0.76848048048048,0,0.02,0.666666666666667
"FBgn0029539",-11.8808180946686,0,0.679,4,3,1,"ok",0,0.784389189189189,0.0133333333333333,0.75
"FBgn0040339",0.730707768654134,0.236,0.1,26,6,20,"ok",0.285067420266451,0.239120879120879,0.0866666666666667,0.230769230769231
"FBgn0040340",-0.0905974750590784,0,0.696,177,84,93,"ok",0,0.795048964398205,0.59,0.474576271186441
"FBgn0040347",6.5364385575913,0.957,0.038,20,1,19,"ok",0.964576048509348,0.13012417739628,0.0666666666666667,0.05
"FBgn0042146",NA,NA,NA,2,1,1,"skipped",NA,NA,0.00666666666666667,0.5
"FBgn0029552",0.8447564424545,0.403,0.288,13,2,11,"ok",0.457339654845439,0.459877785190127,0.0433333333333333,0.153846153846154
"FBgn0040337",-1.04065617247566,0.011,0.772,45,2,43,"ok",0.0173449275362319,0.845547359751075,0.15,0.0444444444444444
"FBgn0053082",4.99366308100223,0.968,0,23,1,22,"ok",0.973613244810488,0,0.0766666666666667,0.0434782608695652
"FBgn0014903",0.0849398861898274,0,0.365,75,23,52,"ok",0,0.531878728844515,0.25,0.306666666666667
"FBgn0003638",0.44351847887957,0,0.029,87,26,61,"ok",0,0.110532484076433,0.29,0.298850574712644
"FBgn0040398",-0.382278594472718,0,0.775,33,7,26,"ok",0,0.84782449725777,0.11,0.212121212121212
"FBgn0040365",NA,NA,NA,4,4,0,"skipped",NA,NA,0.0133333333333333,1
"FBgn0040397",0.497547085912445,0,0.001,259,41,218,"ok",0,0.0103798785776236,0.863333333333333,0.158301158301158
"FBgn0026143",0.18595182849625,0,0.169,187,35,152,"ok",0,0.33162682406952,0.623333333333333,0.18716577540107
"FBgn0040351",0.515326418006643,0,0.001,215,28,187,"ok",0,0.0103798785776236,0.716666666666667,0.130232558139535
"FBgn0040338",NA,NA,NA,4,4,0,"skipped",NA,NA,0.0133333333333333,1
"FBgn0040350",0.591190559902569,0.027,0.032,64,14,50,"ok",0.0396194212849436,0.116832214765101,0.213333333333333,0.21875
"FBgn0040349",0.784462302977591,0.079,0.001,115,14,101,"ok",0.105544987720473,0.0103798785776236,0.383333333333333,0.121739130434783
"FBgn0040348",0.43873683298577,0,0.032,175,27,148,"ok",0,0.116832214765101,0.583333333333333,0.154285714285714
"FBgn0040346",0.373165883353385,0,0.045,121,29,92,"ok",0,0.144774193548387,0.403333333333333,0.239669421487603
"FBgn0040342",0.306250373237653,0.002,0.214,54,10,44,"ok",0.00351070695218539,0.382775668808848,0.18,0.185185185185185
"FBgn0040343",NA,NA,NA,9,0,9,"skipped",NA,NA,0.03,0
"FBgn0040364",0.628185742074504,0.07,0.066,63,7,56,"ok",0.0945553047404063,0.185115537848606,0.21,0.111111111111111
"FBgn0040362",3.8712146915873,0.779,0.15,14,1,13,"ok",0.815666841644794,0.307502569373073,0.0466666666666667,0.0714285714285714
"FBgn0040361",0.208741149332755,0,0.291,43,20,23,"ok",0,0.463184998005054,0.143333333333333,0.465116279069767
"FBgn0040360",-0.230626194393955,0.002,0.685,43,5,38,"ok",0.00351070695218539,0.78842854395076,0.143333333333333,0.116279069767442
"FBgn0040359",0.761640091869028,0.096,0.004,90,11,79,"ok",0.125785855047077,0.0296054421768707,0.3,0.122222222222222
"FBgn0040358",0.371908784785921,0.002,0.123,67,13,54,"ok",0.00351070695218539,0.270948647156267,0.223333333333333,0.194029850746269
"FBgn0029568",0.504917697605259,0.122,0.224,24,4,20,"ok",0.156427683736876,0.394297984997794,0.08,0.166666666666667
"FBgn0040357",-0.314038164976121,0.015,0.715,13,7,6,"ok",0.0231042471042471,0.806362608367885,0.0433333333333333,0.538461538461538
"FBgn0040367",0.447542474422594,0.089,0.228,23,6,17,"ok",0.117514563106796,0.399283582089552,0.0766666666666667,0.260869565217391
"FBgn0025642",1.16741783567866,0.591,0.037,17,5,12,"ok",0.641491746780337,0.128092565808504,0.0566666666666667,0.294117647058824
"FBgn0004650",-0.00928062348893978,0.007,0.52,35,6,29,"ok",0.0113810623556582,0.663329780430612,0.116666666666667,0.171428571428571
"FBgn0024362",0.549916574216848,0.004,0.026,94,15,79,"ok",0.00672737492973581,0.102967571144937,0.313333333333333,0.159574468085106
"FBgn0024361",-0.0339080838950411,0,0.567,137,69,68,"ok",0,0.700077994428969,0.456666666666667,0.503649635036496
"FBgn0024364",-0.28668535762246,0,0.938,122,78,44,"ok",0,0.954752849124,0.406666666666667,0.639344262295082
"FBgn0029573",0.0199238404760506,0,0.485,98,23,75,"ok",0,0.63416147711133,0.326666666666667,0.23469387755102
"FBgn0024987",0.612063275336467,0,0,240,45,195,"ok",0,0,0.8,0.1875
"FBgn0023169",0.43232391717612,0,0.005,233,36,197,"ok",0,0.0345895953757225,0.776666666666667,0.15450643776824
"FBgn0052813",0.239194535270988,0,0.094,142,74,68,"ok",0,0.229309417040359,0.473333333333333,0.52112676056338
"FBgn0024985",0.651465303916978,0.006,0.006,257,14,243,"ok",0.00985290889132821,0.039303776683087,0.856666666666667,0.0544747081712062
"FBgn0027794",0.293617308801932,0.002,0.215,46,12,34,"ok",0.00351070695218539,0.38404776119403,0.153333333333333,0.260869565217391
"FBgn0027795",0.489355751070593,0.055,0.155,36,7,29,"ok",0.0760355781448539,0.313775372124493,0.12,0.194444444444444
"FBgn0024986",0.320153502425077,0,0.07,79,32,47,"ok",0,0.191138489618982,0.263333333333333,0.40506329113924
"FBgn0000826",0.0834601480036409,0,0.418,41,12,29,"ok",0,0.576804335293439,0.136666666666667,0.292682926829268
"FBgn0024365",0.228532276919544,0,0.141,181,31,150,"ok",0,0.296206424433913,0.603333333333333,0.171270718232044
"FBgn0024360",0.159612838396915,0,0.214,182,32,150,"ok",0,0.382775668808848,0.606666666666667,0.175824175824176
"FBgn0024366",0.443086047276593,0,0.007,137,49,88,"ok",0,0.0433847747281201,0.456666666666667,0.357664233576642
"FBgn0025641",0.408141658481242,0,0.002,266,93,173,"ok",0,0.0178760268857356,0.886666666666667,0.349624060150376
"FBgn0028550",0.421959715706986,0,0.02,209,24,185,"ok",0,0.0866618392469225,0.696666666666667,0.114832535885167
"FBgn0026876",0.803527888105495,0.214,0.032,47,7,40,"ok",0.260597476597477,0.116832214765101,0.156666666666667,0.148936170212766
"FBgn0261444",0.167554610526797,0,0.252,102,24,78,"ok",0,0.424421052631579,0.34,0.235294117647059
"FBgn0040366",0.554156327675948,0.208,0.289,11,3,8,"ok",0.254014693877551,0.460859693537642,0.0366666666666667,0.272727272727273
"FBgn0040363",0.911383692019063,0.374,0.036,59,5,54,"ok",0.427918929254302,0.125868536371604,0.196666666666667,0.0847457627118644
"FBgn0040368",-0.671137408988991,0.003,0.889,14,9,5,"ok",0.00513134200371588,0.923251648733079,0.0466666666666667,0.642857142857143
"FBgn0026872",-0.0916512270637071,0.004,0.546,31,5,26,"ok",0.00672737492973581,0.684889214966985,0.103333333333333,0.161290322580645
"FBgn0029580",0.663997438783104,0.011,0,89,23,66,"ok",0.0173449275362319,0,0.296666666666667,0.258426966292135
"FBgn0013720",0.443359200653804,0.001,0.048,106,19,87,"ok",0.00181912144702842,0.15050144092219,0.353333333333333,0.179245283018868
"FBgn0025383",0.951481337191013,0.486,0.377,42,1,41,"ok",0.540110316649642,0.542104529616725,0.14,0.0238095238095238
"FBgn0260986",0.405454713796179,0.033,0.163,34,9,25,"ok",0.0476697646348823,0.323405835543767,0.113333333333333,0.264705882352941
"FBgn0025381",0.808497727215881,0.065,0,156,19,137,"ok",0.0883799136559873,0,0.52,0.121794871794872
"FBgn0025394",0.286905214913825,0,0.059,142,52,90,"ok",0,0.172096514745308,0.473333333333333,0.366197183098592
"FBgn0283451",0.161057750589787,0,0.145,265,85,180,"ok",0,0.300912086006589,0.883333333333333,0.320754716981132
"FBgn0000482",0.612681277136304,0.022,0.034,71,10,61,"ok",0.0328504054897068,0.121502538071066,0.236666666666667,0.140845070422535
"FBgn0001189",0.739781884120313,0.082,0.012,79,12,67,"ok",0.109175214150629,0.0619568593615185,0.263333333333333,0.151898734177215
"FBgn0024897",0.516785033497857,0,0.001,280,58,222,"ok",0,0.0103798785776236,0.933333333333333,0.207142857142857
"FBgn0025391",0.692711634584361,0.023,0.002,96,26,70,"ok",0.0342325581395349,0.0178760268857356,0.32,0.270833333333333
"FBgn0025378",-0.0692612763631571,0.013,0.548,17,8,9,"ok",0.0202319895968791,0.686175350491735,0.0566666666666667,0.470588235294118
"FBgn0023130",0.282661906862843,0,0.12,139,18,121,"ok",0,0.267093174632695,0.463333333333333,0.129496402877698
"FBgn0023530",0.107415244422294,0.014,0.41,27,7,20,"ok",0.0216699430936368,0.571165172855314,0.09,0.259259259259259
"FBgn0025390",0.857288817437772,0.214,0.001,57,12,45,"ok",0.260597476597477,0.0103798785776236,0.19,0.210526315789474
"FBgn0025393",-0.292516800508932,0.005,0.7,21,6,15,"ok",0.00830649639089395,0.796804260985353,0.07,0.285714285714286
"FBgn0053513",0.405752586840992,0,0.001,267,108,159,"ok",0,0.0103798785776236,0.89,0.404494382022472
"FBgn0003517",0.481168965503206,0,0.005,275,42,233,"ok",0,0.0345895953757225,0.916666666666667,0.152727272727273
"FBgn0025382",0.0591284712134734,0,0.413,86,39,47,"ok",0,0.573475345167653,0.286666666666667,0.453488372093023
"FBgn0052808",0.52738766517659,0.058,0.096,35,8,27,"ok",0.0797591635068367,0.232529447480267,0.116666666666667,0.228571428571429
"FBgn0027791",0.0426925650027178,0,0.449,82,10,72,"ok",0,0.604594059405941,0.273333333333333,0.121951219512195
"FBgn0266284",0.717341256296587,0.063,0.006,90,13,77,"ok",0.0859143117593437,0.039303776683087,0.3,0.144444444444444
"FBgn0027793",-6.12061510326656,0,0.933,24,1,23,"ok",0,0.951119591141397,0.08,0.0416666666666667
"FBgn0026086",0.455710069616682,0,0,290,105,185,"ok",0,0,0.966666666666667,0.362068965517241
"FBgn0052806",11.1340118531362,0.65,0,6,1,5,"ok",0.697748677011391,0,0.02,0.166666666666667
"FBgn0026873",0.769009502320175,0.096,0.02,162,7,155,"ok",0.125785855047077,0.0866618392469225,0.54,0.0432098765432099
"FBgn0023513",0.694552615375791,0.085,0.04,78,9,69,"ok",0.11275548658834,0.13447191011236,0.26,0.115384615384615
"FBgn0014411",0.0618428082680205,0,0.382,171,60,111,"ok",0,0.54634034416826,0.57,0.350877192982456
"FBgn0023514",0.0236972867674918,0.011,0.47,25,6,19,"ok",0.0173449275362319,0.622092457420925,0.0833333333333333,0.24
"FBgn0029594",1.3773859292802,0.653,0.205,33,1,32,"ok",0.700466433629112,0.373146768060837,0.11,0.0303030303030303
"FBgn0023519",-0.509410655855606,0,0.971,80,22,58,"ok",0,0.979511800404585,0.266666666666667,0.275
"FBgn0023509",0.310864267804414,0,0.05,162,50,112,"ok",0,0.155066079295154,0.54,0.308641975308642
"FBgn0023510",0.238879876838382,0,0.077,255,42,213,"ok",0,0.203609368095448,0.85,0.164705882352941
"FBgn0023508",0.809000912785257,0.141,0.001,70,16,54,"ok",0.178230671736375,0.0103798785776236,0.233333333333333,0.228571428571429
"FBgn0023522",0.411617864447717,0,0.011,135,39,96,"ok",0,0.0586405345211581,0.45,0.288888888888889
"FBgn0023521",-0.449986344003158,0,0.855,41,8,33,"ok",0,0.901077844311377,0.136666666666667,0.195121951219512
"FBgn0261954",0.265664209887086,0,0.058,176,83,93,"ok",0,0.170216772927906,0.586666666666667,0.471590909090909
"FBgn0025627",0.649960274587334,0.217,0.269,18,15,3,"ok",0.264008945816814,0.441435897435897,0.06,0.833333333333333
"FBgn0025630",-0.0536994778924992,0.006,0.547,28,9,19,"ok",0.00985290889132821,0.685353433835846,0.0933333333333333,0.321428571428571
"FBgn0025629",0.506153399771154,0.004,0.046,95,15,80,"ok",0.00672737492973581,0.146768328445748,0.316666666666667,0.157894736842105
"FBgn0289578",0.586174688770387,0.011,0.006,66,30,36,"ok",0.0173449275362319,0.039303776683087,0.22,0.454545454545455
"FBgn0029596",NA,NA,NA,7,0,7,"skipped",NA,NA,0.0233333333333333,0
"FBgn0025626",0.232011172784042,0.001,0.231,55,23,32,"ok",0.00181912144702842,0.401890972525076,0.183333333333333,0.418181818181818
"FBgn0025625",0.348411897901211,0,0.033,161,41,120,"ok",0,0.119066626469702,0.536666666666667,0.254658385093168
"FBgn0025631",0.499171412246552,0,0,203,76,127,"ok",0,0,0.676666666666667,0.374384236453202
"FBgn0026878",2.98738960761284,0.737,0.056,7,2,5,"ok",0.777608745481795,0.166181006694768,0.0233333333333333,0.285714285714286
"FBgn0000667",0.17285965677167,0,0.098,298,189,109,"ok",0,0.235467576791809,0.993333333333333,0.634228187919463
"FBgn0003964",0.400822956376259,0.001,0.104,153,11,142,"ok",0.00181912144702842,0.244580860679898,0.51,0.0718954248366013
"FBgn0023545",0.570285845945679,0.003,0.012,112,17,95,"ok",0.00513134200371588,0.0619568593615185,0.373333333333333,0.151785714285714
"FBgn0023520",1.71213026012686,0.942,0.003,25,3,22,"ok",0.951621169916434,0.0240482250502344,0.0833333333333333,0.12
"FBgn0023512",-0.0949534341600449,0,0.653,119,31,88,"ok",0,0.765586206896552,0.396666666666667,0.260504201680672
"FBgn0023511",-0.0968804492411533,0,0.59,98,8,90,"ok",0,0.718835386338186,0.326666666666667,0.0816326530612245
"FBgn0052801",0.448568724223852,0.087,0.191,25,9,16,"ok",0.115153284671533,0.357561082433912,0.0833333333333333,0.36
"FBgn0052803",0.791212932981463,0.312,0.099,15,8,7,"ok",0.364187652394421,0.237346153846154,0.05,0.533333333333333
"FBgn0023518",0.964293557143276,0.35,0,184,14,170,"ok",0.403350987000481,0,0.613333333333333,0.0760869565217391
"FBgn0026088",NA,NA,NA,33,0,33,"skipped",NA,NA,0.11,0
"FBgn0026089",-0.0902345446853588,0,0.592,39,21,18,"ok",0,0.72024560333435,0.13,0.538461538461538
"FBgn0023517",0.233014293180379,0,0.176,70,24,46,"ok",0,0.340560711398545,0.233333333333333,0.342857142857143
"FBgn0023516",0.147140072530347,0,0.312,55,25,30,"ok",0,0.483180124223602,0.183333333333333,0.454545454545455
"FBgn0023515",0.113209577549809,0,0.356,48,19,29,"ok",0,0.522773987730061,0.16,0.395833333333333
"FBgn0028969",0.162020822514876,0,0.153,216,71,145,"ok",0,0.311041956854085,0.72,0.328703703703704
"FBgn0026090",NA,NA,NA,53,0,53,"skipped",NA,NA,0.176666666666667,0
"FBgn0029589",NA,NA,NA,1,0,1,"skipped",NA,NA,0.00333333333333333,0
"FBgn0025624",0.434238203630782,0.019,0.138,47,9,38,"ok",0.0287546788062721,0.292315752212389,0.156666666666667,0.191489361702128
"FBgn0040395",0.819030289378202,0.053,0,260,19,241,"ok",0.0734743426387119,0,0.866666666666667,0.0730769230769231
"FBgn0000382",0.250254236144171,0,0.057,274,60,214,"ok",0,0.168147892531427,0.913333333333333,0.218978102189781
"FBgn0023507",-0.0668970871821578,0,0.66,185,91,94,"ok",0,0.771375,0.616666666666667,0.491891891891892
"FBgn0004654",0.0519477260658436,0,0.403,126,31,95,"ok",0,0.56542837045721,0.42,0.246031746031746
"FBgn0023540",1.30935505875558,0.946,0,72,7,65,"ok",0.955258859264259,0,0.24,0.0972222222222222
"FBgn0025839",1.05236387617619,0.471,0.112,40,3,37,"ok",0.525147009502515,0.255706982067913,0.133333333333333,0.075
"FBgn0011576",0.138890250925707,0.001,0.32,66,24,42,"ok",0.00181912144702842,0.491057827926657,0.22,0.363636363636364
"FBgn0015036",6.18987972733454,0.926,0,15,1,14,"ok",0.938467948175121,0,0.05,0.0666666666666667
"FBgn0003116",-0.284954203792615,0,0.799,44,24,20,"ok",0,0.865456783419314,0.146666666666667,0.545454545454545
"FBgn0040899",0.129405736551758,0,0.301,74,42,32,"ok",0,0.473435142594296,0.246666666666667,0.567567567567568
"FBgn0024984",0.187729808942431,0.078,0.388,21,4,17,"ok",0.104313778075763,0.55110182767624,0.07,0.19047619047619
"FBgn0023549",0.447507894548168,0,0.017,150,29,121,"ok",0,0.0779524904214559,0.5,0.193333333333333
"FBgn0000810",0.631592127597607,0.097,0.094,54,6,48,"ok",0.126873879781421,0.229309417040359,0.18,0.111111111111111
"FBgn0023523",0.211547606178101,0.022,0.326,26,16,10,"ok",0.0328504054897068,0.49613021363174,0.0866666666666667,0.615384615384615
"FBgn0023527",0.0356990364298525,0,0.437,44,8,36,"ok",0,0.593241379310345,0.146666666666667,0.181818181818182
"FBgn0040391",-0.0988934797906909,0,0.583,31,8,23,"ok",0,0.713575782368582,0.103333333333333,0.258064516129032
"FBgn0003079",0.506461197771785,0,0.002,176,39,137,"ok",0,0.0178760268857356,0.586666666666667,0.221590909090909
"FBgn0003159",0.479143009569593,0,0.001,166,94,72,"ok",0,0.0103798785776236,0.553333333333333,0.566265060240964
"FBgn0040389",0.533214663805854,0.014,0.067,81,11,70,"ok",0.0216699430936368,0.186434782608696,0.27,0.135802469135802
"FBgn0044047",NA,NA,NA,8,0,8,"skipped",NA,NA,0.0266666666666667,0
"FBgn0040392",NA,NA,NA,9,0,9,"skipped",NA,NA,0.03,0
"FBgn0023526",0.381460505212681,0.001,0.079,79,17,62,"ok",0.00181912144702842,0.207113253012048,0.263333333333333,0.215189873417722
"FBgn0023529",0.337740748782571,0,0.028,175,48,127,"ok",0,0.108272697899838,0.583333333333333,0.274285714285714
"FBgn0023528",0.338916977189373,0,0.031,116,40,76,"ok",0,0.114543995060204,0.386666666666667,0.344827586206897
"FBgn0027296",0.304623522827469,0,0.069,154,43,111,"ok",0,0.189532246958917,0.513333333333333,0.279220779220779
"FBgn0023524",0.693657956633415,0.017,0.002,118,22,96,"ok",0.0259245667686035,0.0178760268857356,0.393333333333333,0.186440677966102
"FBgn0029608",0.137499223655878,0.012,0.433,35,5,30,"ok",0.0188102161100196,0.590086996128445,0.116666666666667,0.142857142857143
"FBgn0023525",-0.0779679980526071,0,0.632,77,25,52,"ok",0,0.750300168634064,0.256666666666667,0.324675324675325
"FBgn0000377",0.400391528489987,0,0.021,254,31,223,"ok",0,0.0895042735042735,0.846666666666667,0.122047244094488
"FBgn0001330",-0.196591950590588,0,0.745,84,17,67,"ok",0,0.826488691138302,0.28,0.202380952380952
"FBgn0004397",0.166087389252058,0,0.133,255,136,119,"ok",0,0.285361061312298,0.85,0.533333333333333
